index,filename,config,einsteinR,ellipseratio,orientation,source,R,phi,sigma,sigma2,theta,n_sersic,luminosity,x,y
1,image-000001.png,raysie,19.8564,0.6213,151.1112,SersicSphere,10.1324,22.6295,4.6046,14.4321,163.5328,4.5373,19.6622,9.3523,3.8986
2,image-000002.png,raysie,23.7040,0.2567,136.0390,SersicSphere,15.6513,293.0169,2.7421,19.0280,76.7193,2.6149,19.4839,6.1197,-14.4053
3,image-000003.png,raysie,74.6649,0.3509,54.3821,SersicSphere,2.4489,263.1630,3.4576,4.8699,90.7671,3.9097,12.6575,-0.2915,-2.4315
4,image-000004.png,raysie,27.6341,0.3543,151.5773,SersicSphere,12.1289,73.2732,1.3375,13.1052,13.0253,4.4761,12.7137,3.4908,11.6157
5,image-000005.png,raysie,73.9812,0.8980,108.3999,SersicSphere,19.7311,73.9381,4.3918,12.4176,122.1467,2.8789,12.1558,5.4591,18.9608
6,image-000006.png,raysie,68.2502,0.1964,71.0657,SersicSphere,25.6255,84.1626,1.3839,7.8070,59.6794,1.3642,11.4862,2.6062,25.4926
7,image-000007.png,raysie,12.0662,0.3778,51.9182,SersicSphere,9.3241,294.9473,2.2742,35.5493,161.5073,2.0968,17.3320,3.9328,-8.4541
8,image-000008.png,raysie,22.2179,0.5382,171.3690,SersicSphere,5.6726,248.3979,2.6156,21.0827,7.4659,1.4154,18.8257,-2.0884,-5.2742
9,image-000009.png,raysie,17.5366,0.6866,21.2764,SersicSphere,11.1249,249.2643,4.0380,4.7012,80.1717,3.5757,15.8152,-3.9388,-10.4043
10,image-000010.png,raysie,54.5946,0.4620,22.3237,SersicSphere,33.9640,134.2378,1.0890,13.2659,159.8710,1.1519,17.8365,-23.6946,24.3336
11,image-000011.png,raysie,16.9963,0.4680,44.5013,SersicSphere,14.8678,74.0930,3.6878,29.0482,151.3559,1.8364,17.9304,4.0749,14.2985
12,image-000012.png,raysie,25.5242,0.6553,74.2662,SersicSphere,10.9986,143.0013,3.1060,5.2931,64.0113,2.2150,15.7612,-8.7840,6.6189
13,image-000013.png,raysie,42.6412,0.3728,96.8498,SersicSphere,27.8576,103.3873,4.3448,2.3125,16.8083,1.4829,15.0091,-6.4499,27.1006
14,image-000014.png,raysie,60.1449,0.5680,12.0351,SersicSphere,29.7139,71.3145,2.3375,23.1579,22.8283,3.4056,14.9555,9.5195,28.1478
15,image-000015.png,raysie,7.7403,0.5801,120.5057,SersicSphere,7.4996,252.8686,2.4602,37.1219,45.0137,4.5225,14.7619,-2.2091,-7.1669
16,image-000016.png,raysie,47.7505,0.6483,129.1204,SersicSphere,10.9548,70.6829,2.7030,29.3320,151.1185,2.3077,16.4493,3.6238,10.3381
17,image-000017.png,raysie,2.8183,0.1023,178.4708,SersicSphere,1.6705,278.5095,2.1103,35.5316,12.5305,4.7371,10.4610,0.2472,-1.6521
18,image-000018.png,raysie,57.8163,0.2966,59.2035,SersicSphere,21.1109,32.0106,2.5553,19.6142,140.6026,3.0154,18.6042,17.9009,11.1904
19,image-000019.png,raysie,37.5439,0.6222,53.5999,SersicSphere,23.2875,324.5033,2.2419,12.1887,24.8246,4.5858,18.9873,18.9595,-13.5221
20,image-000020.png,raysie,3.2729,0.6873,105.5767,SersicSphere,2.5486,220.1038,3.7872,11.7309,150.5379,3.5837,15.4908,-1.9494,-1.6418
21,image-000021.png,raysie,32.4572,0.7685,75.8054,SersicSphere,30.9987,149.1654,1.0557,20.8672,103.3549,1.4239,16.4165,-26.6171,15.8887
22,image-000022.png,raysie,34.5364,0.3458,179.4542,SersicSphere,34.3962,356.4047,4.7836,24.7849,103.5672,4.8227,18.5392,34.3285,-2.1570
23,image-000023.png,raysie,51.0252,0.3322,137.5276,SersicSphere,1.7615,242.6065,4.7016,26.4868,157.4728,1.1071,11.1626,-0.8105,-1.5640
24,image-000024.png,raysie,3.6886,0.1226,45.8348,SersicSphere,2.9172,157.8295,4.1656,20.8822,59.9765,4.0438,19.9642,-2.7015,1.1009
25,image-000025.png,raysie,64.9810,0.5992,156.4217,SersicSphere,47.0338,113.2615,3.1067,17.0474,27.9874,4.6669,12.3623,-18.5750,43.2105
26,image-000026.png,raysie,24.4252,0.3271,59.6921,SersicSphere,20.0080,187.6554,2.4955,1.9244,0.8401,1.4165,13.6263,-19.8296,-2.6654
27,image-000027.png,raysie,53.9602,0.7978,22.4615,SersicSphere,33.8561,220.2442,1.0873,25.5668,49.9500,1.2938,12.9916,-25.8423,-21.8726
28,image-000028.png,raysie,31.6446,0.3546,15.0140,SersicSphere,2.0454,214.3867,1.7388,24.6792,137.2784,4.7935,19.1693,-1.6880,-1.1552
29,image-000029.png,raysie,57.2964,0.7073,173.5732,SersicSphere,57.4009,42.5339,4.1267,26.6393,25.6196,3.9520,13.3066,42.2974,38.8045
30,image-000030.png,raysie,54.3683,0.7853,179.5224,SersicSphere,25.4244,177.6547,3.3585,11.8439,113.3715,2.7746,10.6538,-25.4031,1.0404
31,image-000031.png,raysie,70.2419,0.6069,133.9889,SersicSphere,69.2862,107.9880,4.5262,29.2274,88.0751,2.0665,14.9502,-21.3969,65.8996
32,image-000032.png,raysie,66.7349,0.8502,2.3662,SersicSphere,44.2859,304.0710,1.3991,3.5351,137.2317,4.9279,19.7377,24.8099,-36.6839
33,image-000033.png,raysie,5.8662,0.8468,119.9837,SersicSphere,6.2653,114.4076,4.6861,9.3234,83.1544,2.1716,14.5992,-2.5890,5.7053
34,image-000034.png,raysie,40.6379,0.5490,69.2403,SersicSphere,7.1965,228.1649,1.6450,6.4226,102.9048,2.9830,14.6008,-4.8000,-5.3618
35,image-000035.png,raysie,16.7099,0.1243,120.9926,SersicSphere,8.2894,6.7852,3.6686,29.9114,85.7601,3.6851,19.5021,8.2313,0.9794
36,image-000036.png,raysie,60.7440,0.5760,153.7622,SersicSphere,51.4548,133.5529,1.8586,5.2804,13.7559,2.5642,19.0701,-35.4536,37.2913
37,image-000037.png,raysie,30.0080,0.4513,63.8456,SersicSphere,26.1738,239.7374,4.7242,16.6850,16.9489,3.2595,12.7117,-13.1907,-22.6070
38,image-000038.png,raysie,52.7298,0.6746,124.5000,SersicSphere,53.2632,280.4437,4.3117,24.3389,149.2761,4.5375,15.6842,9.6550,-52.3808
39,image-000039.png,raysie,46.3034,0.5582,162.7171,SersicSphere,33.9571,148.4020,3.5786,11.8389,61.6447,2.1960,17.1524,-28.9228,17.7920
40,image-000040.png,raysie,43.3755,0.1123,14.1260,SersicSphere,17.6603,181.4583,2.9942,23.2456,130.8542,4.4385,19.0554,-17.6546,-0.4494
41,image-000041.png,raysie,24.8823,0.5956,158.0647,SersicSphere,22.6915,16.7452,2.8615,1.3695,39.3244,3.9494,13.4218,21.7293,6.5378
42,image-000042.png,raysie,55.1578,0.4296,13.3942,SersicSphere,21.2471,66.8340,1.6503,31.0029,1.2189,4.3858,19.1532,8.3585,19.5339
43,image-000043.png,raysie,22.6579,0.2384,2.8709,SersicSphere,24.2758,335.1079,1.7831,10.6374,15.9860,2.7367,19.5832,22.0206,-10.2180
44,image-000044.png,raysie,5.8951,0.8407,55.8262,SersicSphere,4.7658,340.3914,1.5563,14.6344,113.5894,4.9479,15.4110,4.4894,-1.5994
45,image-000045.png,raysie,66.7001,0.5046,118.2574,SersicSphere,9.2595,257.3333,4.6149,8.3907,53.9789,1.1535,19.1432,-2.0304,-9.0341
46,image-000046.png,raysie,6.2785,0.7833,77.9896,SersicSphere,4.7479,33.4963,1.7775,15.6678,127.7080,4.0423,10.6819,3.9593,2.6203
47,image-000047.png,raysie,28.0311,0.7774,62.8745,SersicSphere,32.7270,193.5977,4.0464,32.1898,121.2112,2.8454,15.7672,-31.8096,-7.6942
48,image-000048.png,raysie,9.1014,0.7151,39.5818,SersicSphere,5.0056,163.3139,1.1152,31.8779,168.0574,4.2867,10.8132,-4.7948,1.4372
49,image-000049.png,raysie,31.5494,0.8796,144.3364,SersicSphere,18.8663,142.9738,1.7730,1.7577,61.3881,3.6034,17.2186,-15.0621,11.3609
50,image-000050.png,raysie,30.7039,0.1143,67.5388,SersicSphere,34.1683,90.2807,1.9875,28.9488,90.8483,1.0201,16.1579,-0.1674,34.1679
51,image-000051.png,raysie,7.7531,0.3890,171.4926,SersicSphere,3.4996,45.2868,1.1588,7.5970,163.0736,2.8074,14.1107,2.4622,2.4869
52,image-000052.png,raysie,5.8512,0.5713,73.7730,SersicSphere,1.8106,346.8534,1.3980,20.7611,156.0118,1.3441,17.1391,1.7631,-0.4118
53,image-000053.png,raysie,59.5242,0.4195,123.1947,SersicSphere,5.0593,191.4923,4.8828,21.5007,140.1577,2.3446,18.2750,-4.9578,-1.0080
54,image-000054.png,raysie,66.9102,0.2276,11.1744,SersicSphere,3.9651,234.1505,2.0192,13.9458,35.8340,2.8868,16.9151,-2.3222,-3.2139
55,image-000055.png,raysie,51.0988,0.8520,124.7677,SersicSphere,17.4066,169.9847,4.8539,6.8022,94.0248,1.9325,11.2716,-17.1413,3.0272
56,image-000056.png,raysie,34.0723,0.8678,77.7984,SersicSphere,32.1111,255.9186,4.5122,22.3090,157.6788,2.5312,11.3482,-7.8126,-31.1461
57,image-000057.png,raysie,23.3868,0.4296,130.5199,SersicSphere,1.5651,176.1406,2.8519,17.6335,178.8642,1.1566,12.5425,-1.5615,0.1053
58,image-000058.png,raysie,41.5740,0.4958,74.9247,SersicSphere,4.9648,184.0739,2.4664,1.0539,107.7581,2.0791,15.6512,-4.9523,-0.3527
59,image-000059.png,raysie,40.5124,0.5953,102.9329,SersicSphere,46.6875,316.3639,3.8665,3.2063,163.6707,3.2566,16.2404,33.7895,-32.2179
60,image-000060.png,raysie,40.5399,0.6645,138.3727,SersicSphere,9.0503,161.1447,1.5015,8.1906,115.2387,4.5662,18.4748,-8.5647,2.9249
61,image-000061.png,raysie,43.6260,0.7540,27.7830,SersicSphere,34.3284,137.6037,3.5199,18.0374,5.5373,1.5655,17.2799,-25.3515,23.1461
62,image-000062.png,raysie,43.0042,0.2634,23.7220,SersicSphere,51.5082,213.6719,1.9798,23.6960,102.2030,3.9094,10.0500,-42.8664,-28.5580
63,image-000063.png,raysie,38.5778,0.6892,34.4903,SersicSphere,19.9933,91.9442,4.2528,39.2991,27.9116,4.3280,12.6538,-0.6783,19.9817
64,image-000064.png,raysie,36.7767,0.8593,151.8038,SersicSphere,30.7104,101.9478,3.1515,10.8886,45.1111,4.8785,19.6386,-6.3577,30.0451
65,image-000065.png,raysie,8.1121,0.7027,145.6739,SersicSphere,3.2658,62.9654,1.5977,17.2850,38.9935,1.8444,10.7013,1.4844,2.9090
66,image-000066.png,raysie,63.4802,0.7935,146.5318,SersicSphere,57.3728,225.4288,4.5678,32.2399,133.8863,4.8686,12.6150,-40.2639,-40.8712
67,image-000067.png,raysie,20.6435,0.8598,12.1529,SersicSphere,6.5147,174.8542,4.0414,12.3785,67.6705,3.1302,17.8127,-6.4884,0.5843
68,image-000068.png,raysie,31.0400,0.1431,172.2598,SersicSphere,6.4629,92.7266,3.2640,20.2851,48.6357,4.8216,18.7515,-0.3074,6.4556
69,image-000069.png,raysie,54.3166,0.3600,42.6646,SersicSphere,6.2095,178.1421,2.1927,10.4864,22.4401,1.6281,14.1234,-6.2062,0.2013
70,image-000070.png,raysie,44.5291,0.6255,0.0937,SersicSphere,38.2989,138.8907,2.5347,3.9326,105.4186,2.5610,15.3075,-28.8566,25.1814
71,image-000071.png,raysie,45.5272,0.6103,127.9795,SersicSphere,51.1058,341.4062,1.1848,11.2389,78.1951,3.7900,10.7511,48.4383,-16.2955
72,image-000072.png,raysie,53.7161,0.1699,123.0035,SersicSphere,55.3823,90.2363,2.0502,17.3853,149.8489,4.2031,18.9846,-0.2284,55.3818
73,image-000073.png,raysie,5.6170,0.3861,145.0270,SersicSphere,2.2141,231.5443,1.7140,38.5238,163.1622,3.0546,19.5114,-1.3770,-1.7338
74,image-000074.png,raysie,11.6378,0.5886,20.2161,SersicSphere,4.4657,311.2905,1.2624,12.1490,168.6610,4.3994,13.1011,2.9468,-3.3554
75,image-000075.png,raysie,40.6202,0.4546,129.2138,SersicSphere,38.8165,73.4126,1.4886,26.3413,128.8008,2.2223,19.3553,11.0813,37.2012
76,image-000076.png,raysie,49.4005,0.4672,148.8678,SersicSphere,6.6255,99.7252,4.3778,12.8589,40.0743,2.9385,16.4137,-1.1192,6.5303
77,image-000077.png,raysie,39.5224,0.1989,172.4719,SersicSphere,19.6975,336.2930,3.5635,12.1173,66.5415,1.4005,18.4299,18.0353,-7.9196
78,image-000078.png,raysie,3.8161,0.6068,86.8241,SersicSphere,3.2063,7.5535,4.1008,22.4776,163.4705,2.2017,11.6650,3.1785,0.4215
79,image-000079.png,raysie,59.0116,0.6572,74.5493,SersicSphere,2.0899,92.4876,2.6056,25.5021,157.8718,4.4832,18.0875,-0.0907,2.0880
80,image-000080.png,raysie,39.0579,0.4838,35.9966,SersicSphere,4.5781,3.1932,3.0216,22.1164,149.3315,3.3232,10.1113,4.5710,0.2550
81,image-000081.png,raysie,58.4726,0.5238,106.5380,SersicSphere,38.9398,108.0833,3.4960,3.1711,74.0884,3.9897,13.0025,-12.0869,37.0164
82,image-000082.png,raysie,23.7032,0.7050,16.3271,SersicSphere,6.0935,120.7578,3.3094,31.7041,21.4945,4.1544,15.2509,-3.1163,5.2364
83,image-000083.png,raysie,27.9585,0.2187,150.6152,SersicSphere,27.2795,18.1009,4.1549,30.7460,86.1288,3.9256,19.7507,25.9294,8.4755
84,image-000084.png,raysie,19.8629,0.6716,167.2060,SersicSphere,2.8492,207.4516,3.6268,30.2230,105.0532,1.6949,14.3865,-2.5283,-1.3135
85,image-000085.png,raysie,44.5495,0.2434,149.8441,SersicSphere,39.4774,344.2933,2.4890,33.2570,79.6578,1.9676,18.4393,38.0033,-10.6870
86,image-000086.png,raysie,12.2765,0.4217,94.0464,SersicSphere,8.6086,33.7859,1.1781,6.3785,42.2122,1.6378,10.2362,7.1548,4.7872
